#,config,g,E,Eth_eV,n,Zeff,Eth_nm
370,5p5.(2P*<1/2>).10d,3.0,13.20780,0.228467,10,1,5426.795171
371,5p5.(2P*<1/2>).8f,9.0,13.22156,0.214707,8,1,5774.584511
372,5p5.(2P*<1/2>).8f,7.0,13.22156,0.214707,8,1,5774.584511
373,5p5.(2P*<1/2>).8f,7.0,13.22156,0.214707,8,1,5774.584511
374,5p5.(2P*<1/2>).8f,5.0,13.22156,0.214707,8,1,5774.584511
375,5p5.(2P*<1/2>).12s,3.0,13.22287,0.213397,12,1,5810.033540
376,5p5.(2P*<1/2>).11d,3.0,13.25750,0.178767,11,1,6935.530970
377,5p5.(2P*<1/2>).13s,3.0,13.26776,0.168507,13,1,7357.820101
378,5p5.(2P*<1/2>).12d,3.0,13.29220,0.144067,12,1,8606.027516
379,5p5.(2P*<1/2>).14s,3.0,13.29985,0.136417,14,1,9088.637860
380,5p5.(2P*<1/2>).13d,3.0,13.31780,0.118467,13,1,10465.742562
381,5p5.(2P*<1/2>).15s,3.0,13.32355,0.112717,15,1,10999.629907
382,5p5.(2P*<1/2>).14d,3.0,13.33717,0.099097,14,1,12511.435641
383,5p5.(2P*<1/2>).16s,3.0,13.34159,0.094677,16,1,13095.534427
384,5p5.(2P*<1/2>).15d,3.0,13.35216,0.084107,15,1,14741.298664
385,5p5.(2P*<1/2>).17s,3.0,13.35560,0.080667,17,1,15369.935603
386,5p5.(2P*<1/2>).16d,3.0,13.36396,0.072307,16,1,17146.986162
387,5p5.(2P*<1/2>).18s,3.0,13.36674,0.069527,18,1,17832.602214
388,5p5.(2P*<1/2>).17d,3.0,13.37346,0.062807,17,1,19740.600674
389,5p5.(2P*<1/2>).19s,3.0,13.37570,0.060567,19,1,20470.687429
390,5p5.(2P*<1/2>).18d,3.0,13.38118,0.055087,18,1,22507.102156
391,5p5.(2P*<1/2>).20s,3.0,13.38304,0.053227,20,1,23293.609867
392,5p5.(2P*<1/2>).19d,3.0,13.38758,0.048687,19,1,25465.722350
393,5p5.(2P*<1/2>).20d,3.0,13.39293,0.043337,20,1,28609.515361
