#,config,g,E,Eth_eV,n,Zeff,Eth_nm
363,3s2.3p5.(2P*<1/2>).8d,3.0,15.71347,0.223636,8,1,5544.028300
364,3s2.3p5.(2P*<1/2>).10s,3.0,15.71605,0.221056,10,1,5608.734167
365,3s2.3p5.(2P*<3/2>).18d,3.0,15.71682,0.042792,18,1,28973.754013
366,3s2.3p5.(2P*<3/2>).20s,3.0,15.71727,0.042342,20,1,29281.680424
367,3s2.3p5.(2P*<3/2>).18d,3.0,15.71754,0.042072,18,1,29469.598101
368,3s2.3p5.(2P*<3/2>).19d,3.0,15.72035,0.039262,19,1,31578.756615
369,3s2.3p5.(2P*<3/2>).21s,3.0,15.72148,0.038132,21,1,32514.560888
370,3s2.3p5.(2P*<3/2>).19d,3.0,15.72159,0.038022,19,1,32608.627773
371,3s2.3p5.(2P*<3/2>).20d,3.0,15.72415,0.035462,20,1,34962.649614
372,3s2.3p5.(2P*<3/2>).22s,3.0,15.72526,0.034352,22,1,36092.384536
373,3s2.3p5.(2P*<3/2>).20d,3.0,15.72526,0.034352,20,1,36092.384536
374,3s2.3p5.(2P*<3/2>).21d,3.0,15.72747,0.032142,21,1,38574.010383
375,3s2.3p5.(2P*<3/2>).21d,3.0,15.72845,0.031162,21,1,39787.111323
376,3s2.3p5.(2P*<3/2>).22d,3.0,15.73035,0.029262,22,1,42370.522226
377,3s2.3p5.(2P*<3/2>).22d,3.0,15.73121,0.028402,22,1,43653.487419
378,3s2.3p5.(2P*<3/2>).23d,3.0,15.73285,0.026762,23,1,46328.623316
379,3s2.3p5.(2P*<3/2>).23d,3.0,15.73364,0.025972,23,1,47737.823738
380,3s2.3p5.(2P*<3/2>).24d,3.0,15.73507,0.024542,24,1,50519.396800
381,3s2.3p5.(2P*<3/2>).24d,3.0,15.73576,0.023852,24,1,51980.847829
382,3s2.3p5.(2P*<3/2>).25d,3.0,15.73703,0.022582,25,1,54904.236771
383,3s2.3p5.(2P*<3/2>).25d,3.0,15.73765,0.021962,25,1,56454.222282
384,3s2.3p5.(2P*<3/2>).26d,3.0,15.73876,0.020852,26,1,59459.425008
385,3s2.3p5.(2P*<3/2>).26d,3.0,15.73931,0.020302,26,1,61070.243885
386,3s2.3p5.(2P*<3/2>).27d,3.0,15.74028,0.019332,27,1,64134.512610
387,3s2.3p5.(2P*<3/2>).27d,3.0,15.74080,0.018812,27,1,65907.323786
388,3s2.3p5.(2P*<3/2>).28d,3.0,15.74165,0.017962,28,1,69026.215731
389,3s2.3p5.(2P*<3/2>).28d,3.0,15.74212,0.017492,28,1,70880.921131
390,3s2.3p5.(2P*<3/2>).29d,3.0,15.74289,0.016722,29,1,74144.803182
391,3s2.3p5.(2P*<3/2>).29d,3.0,15.74333,0.016282,29,1,76148.482937
392,3s2.3p5.(2P*<3/2>).30d,3.0,15.74401,0.015602,30,1,79467.371559
393,3s2.3p5.(2P*<3/2>).30d,3.0,15.74438,0.015232,30,1,81397.723484
394,3s2.3p5.(2P*<3/2>).31d,3.0,15.74503,0.014582,31,1,85026.092919
395,3s2.3p5.(2P*<3/2>).31d,3.0,15.74535,0.014262,31,1,86933.857644
396,3s2.3p5.(2P*<3/2>).32d,3.0,15.74596,0.013652,32,1,90818.273232
397,3s2.3p5.(2P*<3/2>).32d,3.0,15.74624,0.013372,32,1,92719.956351
398,3s2.3p5.(2P*<3/2>).33d,3.0,15.74680,0.012812,33,1,96772.686669
399,3s2.3p5.(2P*<3/2>).33d,3.0,15.74703,0.012582,33,1,98541.713440
400,3s2.3p5.(2P*<3/2>).34d,3.0,15.74757,0.012042,34,1,102960.661053
401,3s2.3p5.(2P*<3/2>).34d,3.0,15.74778,0.011832,34,1,104788.071597
402,3s2.3p5.(2P*<3/2>).35d,3.0,15.74844,0.011172,35,1,110978.614589
403,3s2.3p5.(2P*<3/2>).36d,3.0,15.74906,0.010552,36,1,117499.406205
404,3s2.3p5.(2P*<3/2>).37d,3.0,15.74963,0.009982,37,1,124209.016754
405,3s2.3p5.(2P*<3/2>).38d,3.0,15.75015,0.009462,38,1,131035.202690
406,3s2.3p5.(2P*<3/2>).39d,3.0,15.75062,0.008992,39,1,137884.316366
407,3s2.3p5.(2P*<3/2>).40d,3.0,15.75108,0.008532,40,1,145318.391487
408,3s2.3p5.(2P*<3/2>).41d,3.0,15.75147,0.008142,41,1,152279.195806
409,3s2.3p5.(2P*<3/2>).42d,3.0,15.75191,0.007702,42,1,160978.717502
410,3s2.3p5.(2P*<3/2>).43d,3.0,15.75223,0.007382,43,1,167957.027910
411,3s2.3p5.(2P*<3/2>).44d,3.0,15.75254,0.007072,44,1,175319.501737
412,3s2.3p5.(2P*<3/2>).45d,3.0,15.75287,0.006742,45,1,183900.975145
413,3s2.3p5.(2P*<3/2>).46d,3.0,15.75315,0.006462,46,1,191869.571540
414,3s2.3p5.(2P*<3/2>).47d,3.0,15.75342,0.006192,47,1,200236.112394
415,3s2.3p5.(2P*<3/2>).48d,3.0,15.75368,0.005932,48,1,209012.624004
416,3s2.3p5.(2P*<3/2>).49d,3.0,15.75392,0.005692,49,1,217825.679357
417,3s2.3p5.(2P*<3/2>).50d,3.0,15.75414,0.005472,50,1,226583.450782
418,3s2.3p5.(2P*<3/2>).51d,3.0,15.75435,0.005262,51,1,235626.291707
419,3s2.3p5.(2P*<3/2>).52d,3.0,15.75457,0.005042,52,1,245907.690421
420,3s2.3p5.(2P*<3/2>).53d,3.0,15.75475,0.004862,53,1,255011.823430
421,3s2.3p5.(2P*<3/2>).54d,3.0,15.75492,0.004692,54,1,264251.579175
422,3s2.3p5.(2P*<3/2>).55d,3.0,15.75509,0.004522,55,1,274186.068761
423,3s2.3p5.(2P*<3/2>).56d,3.0,15.75528,0.004332,56,1,286212.051140
424,3s2.3p5.(2P*<3/2>).57d,3.0,15.75544,0.004172,57,1,297188.807098
425,3s2.3p5.(2P*<1/2>).9d,3.0,15.76220,0.174906,9,1,7088.635962
426,3s2.3p5.(2P*<1/2>).11s,3.0,15.76392,0.173186,11,1,7159.037053
427,3s2.3p5.(2P*<1/2>).10d,3.0,15.79610,0.141006,10,1,8792.857590
428,3s2.3p5.(2P*<1/2>).12s,3.0,15.79729,0.139816,12,1,8867.695462
429,3s2.3p5.(2P*<1/2>).11d,3.0,15.82100,0.116106,11,1,10678.573625
430,3s2.3p5.(2P*<1/2>).13s,3.0,15.82185,0.115256,13,1,10757.327188
431,3s2.3p5.(2P*<1/2>).12d,3.0,15.83970,0.097406,12,1,12728.654604
432,3s2.3p5.(2P*<1/2>).14s,3.0,15.84047,0.096636,14,1,12830.077538
433,3s2.3p5.(2P*<1/2>).13d,3.0,15.85440,0.082706,13,1,14991.031855
434,3s2.3p5.(2P*<1/2>).15s,3.0,15.85491,0.082196,15,1,15084.046908
435,3s2.3p5.(2P*<1/2>).14d,3.0,15.86590,0.071206,14,1,17412.146412
436,3s2.3p5.(2P*<1/2>).16s,3.0,15.86638,0.070726,16,1,17530.319077
437,3s2.3p5.(2P*<1/2>).15d,3.0,15.87520,0.061906,15,1,20027.951993
438,3s2.3p5.(2P*<1/2>).17s,3.0,15.87556,0.061546,17,1,20145.101961
439,3s2.3p5.(2P*<1/2>).16d,3.0,15.88270,0.054406,16,1,22788.875412
440,3s2.3p5.(2P*<1/2>).18s,3.0,15.88307,0.054036,18,1,22944.918595
441,3s2.3p5.(2P*<1/2>).17d,3.0,15.88910,0.048006,17,1,25827.038947
442,3s2.3p5.(2P*<1/2>).19s,3.0,15.88929,0.047816,19,1,25929.665275
443,3s2.3p5.(2P*<1/2>).18d,3.0,15.89430,0.042806,18,1,28964.494450
444,3s2.3p5.(2P*<1/2>).20s,3.0,15.89451,0.042596,20,1,29107.291985
445,3s2.3p5.(2P*<1/2>).19d,3.0,15.89870,0.038406,19,1,32282.860572
446,3s2.3p5.(2P*<1/2>).21s,3.0,15.89892,0.038186,21,1,32468.853016
447,3s2.3p5.(2P*<1/2>).20d,3.0,15.90250,0.034606,20,1,35827.805352
448,3s2.3p5.(2P*<1/2>).22s,3.0,15.90265,0.034456,22,1,35983.779241
449,3s2.3p5.(2P*<1/2>).21d,3.0,15.90580,0.031306,21,1,39604.504511
